time,Historical,Dry,Drought,Variable,Rain Season extend a month,Rain Season shorten a month,Demand
Jul-17,186.4915666,149.1932533,93.24578332,157.71548,186.4915666,186.4915666,246166.2414
Aug-17,154.6588964,123.7271171,77.3294482,119.5162757,154.6588964,154.6588964,208030.6552
Sep-17,96.05139812,76.8411185,48.02569906,49.18727775,96.05139812,96.05139812,138451.6552
Oct-17,130.2503451,104.2002761,65.12517255,90.22601412,130.2503451,130.2503451,112330.7037
Nov-17,267.2226616,213.7781293,133.6113308,254.592794,267.2226616,267.2226616,110299.152
Dec-17,156.4955873,125.1964699,78.24779366,121.7203048,156.4955873,156.4955873,93928.69259
Jan-18,307.3343253,245.8674602,153.6671626,302.7267903,276.6008928,333.5056834,74079.46154
Feb-18,144.971641,115.9773128,72.48582052,107.8915692,130.4744769,171.1429991,73654.75
Mar-18,722.9163905,578.3331124,361.4581952,801.4252686,650.6247515,749.0877486,96778.56522
Apr-18,640.7651327,512.6121062,320.3825664,702.8437593,576.6886194,666.9364908,94964.52174
May-18,209.3708645,167.4966916,104.6854322,185.1706374,188.4337781,104.6854323,135653.2273
Jun-18,127.9455558,102.3564447,63.97277792,87.46026701,330.4813912,127.9455558,176285.9231
Jul-18,100.2861013,80.22888102,50.14305064,54.26892153,100.2861013,100.2861013,246166.2414
Aug-18,131.327368,105.0618944,65.66368398,91.51844156,131.327368,131.327368,208030.6552
Sep-18,133.521083,106.8168664,66.76054152,94.15089965,133.521083,133.521083,138451.6552
Oct-18,47.54173299,38.03338639,23.77086649,0,47.54173299,47.54173299,112330.7037
Nov-18,61.18203912,48.9456313,30.59101956,7.344046946,61.18203912,61.18203912,110299.152
Dec-18,149.3253522,119.4602818,74.66267612,113.1160227,149.3253522,149.3253522,93928.69259
Jan-19,484.5769829,387.6615863,242.2884914,515.4179795,436.1192846,586.707461,74079.46154
Feb-19,837.9277546,670.3422037,418.9638773,939.4389056,754.1349791,940.0582327,73654.75
Mar-19,1124.51501,899.6120077,562.2575048,1283.343612,1012.063509,1226.645488,96778.56522
